,iata_code,date,min_temp,max_temp,avg_temp,total_snowcm,windspeed_kmhr,precip_mm,humidity,visibility,cloud_cover,heat_indexC,wind_chillC,wind_gust,feels_like,weather_description
145,ATL,2018-05-26,20,35,29,0.0,15,0.0,62,10,0,28,27,24,28,Sunny
146,ATL,2018-05-27,21,34,29,0.0,18,0.0,63,10,22,28,27,28,28,Cloudy
147,ATL,2018-05-28,21,32,28,0.0,20,0.0,64,10,17,28,26,29,28,Sunny
148,ATL,2018-05-29,22,31,28,0.0,12,9.2,69,9,26,28,26,18,28,Patchy light rain with thunder
149,ATL,2018-05-30,19,33,28,0.0,9,0.2,66,10,6,27,26,14,27,Sunny
150,ATL,2018-05-31,21,32,28,0.0,8,25.4,64,9,14,28,26,12,28,Heavy rain at times
151,ATL,2018-06-01,22,35,31,0.0,23,0.0,69,10,4,32,29,34,32,Sunny
152,ATL,2018-06-02,21,29,27,0.0,23,0.0,57,10,1,27,26,34,27,Sunny
153,ATL,2018-06-03,17,30,26,0.0,6,0.0,43,10,8,23,23,12,23,Sunny
154,ATL,2018-06-04,19,29,25,0.0,18,1.6,55,10,28,24,23,28,24,Cloudy
155,ATL,2018-06-05,19,33,27,0.0,16,2.2,73,10,24,26,25,24,26,Thundery outbreaks possible
156,ATL,2018-06-06,21,35,30,0.0,17,0.0,70,10,13,30,28,26,30,Partly cloudy
157,ATL,2018-06-07,23,29,27,0.0,17,10.4,72,9,25,28,26,25,28,Moderate or heavy rain shower
158,ATL,2018-06-08,20,34,29,0.0,17,0.2,65,10,16,28,27,25,28,Partly cloudy
159,ATL,2018-06-09,24,36,31,0.0,26,0.0,56,10,6,31,29,37,31,Sunny
160,ATL,2018-06-10,25,37,32,0.0,29,0.0,48,10,5,32,30,42,32,Sunny
161,ATL,2018-06-11,25,37,32,0.0,25,2.0,51,10,9,33,31,35,33,Thundery outbreaks possible
162,ATL,2018-06-12,24,35,30,0.0,16,3.2,66,10,10,32,29,21,32,Thundery outbreaks possible
163,ATL,2018-06-13,24,34,30,0.0,15,9.7,72,9,37,32,28,20,32,Patchy light rain with thunder
164,ATL,2018-06-14,25,37,33,0.0,27,0.0,48,10,5,32,31,38,32,Sunny
165,ATL,2018-06-15,26,36,32,0.0,32,0.0,44,10,8,32,31,44,32,Sunny
166,ATL,2018-06-16,26,35,32,0.0,31,0.0,52,10,12,32,30,42,32,Sunny
167,ATL,2018-06-17,26,35,31,0.0,29,0.0,54,10,18,32,30,39,32,Partly cloudy
168,ATL,2018-06-18,25,34,31,0.0,25,1.8,60,10,22,32,29,34,32,Patchy light rain with thunder
169,ATL,2018-06-19,24,32,29,0.0,22,9.0,67,9,21,30,28,30,30,Patchy light rain with thunder
170,ATL,2018-06-20,22,30,26,0.0,11,29.1,61,8,26,27,25,16,27,Torrential rain shower
171,ATL,2018-06-21,18,31,26,0.0,24,0.0,52,10,6,25,24,33,25,Sunny
172,ATL,2018-06-22,17,30,26,0.0,13,2.4,60,10,10,24,23,19,24,Sunny
173,ATL,2018-06-23,19,31,26,0.0,11,1.2,63,10,12,26,25,15,26,Partly cloudy
174,ATL,2018-06-24,22,30,27,0.0,13,5.4,63,10,15,27,25,18,27,Patchy rain possible
175,ATL,2018-06-25,19,29,25,0.0,16,22.9,65,9,36,24,24,21,24,Cloudy
176,ATL,2018-06-26,22,37,31,0.0,21,5.6,56,9,10,32,29,33,32,Moderate or heavy rain shower
177,ATL,2018-06-27,25,39,34,0.0,20,0.2,47,10,1,34,32,31,34,Sunny
178,ATL,2018-06-28,26,40,35,0.0,24,0.0,41,10,3,34,33,37,34,Sunny
179,ATL,2018-06-29,26,37,33,0.0,31,0.0,46,10,3,33,31,43,33,Sunny
180,ATL,2018-06-30,27,36,32,0.0,26,3.6,54,9,12,33,31,35,33,Thundery outbreaks possible
181,ATL,2018-07-01,24,31,28,0.0,10,0.5,60,10,9,28,27,15,28,Sunny
182,ATL,2018-07-02,22,34,31,0.0,15,0.0,64,10,17,32,29,22,32,Thundery outbreaks possible
183,ATL,2018-07-03,24,38,33,0.0,20,0.0,52,10,8,33,31,29,33,Sunny
184,ATL,2018-07-04,25,35,31,0.0,20,0.0,58,10,10,32,30,28,32,Sunny
185,ATL,2018-07-05,24,33,31,0.0,8,1.6,61,10,27,31,29,12,31,Thundery outbreaks possible
186,ATL,2018-07-06,24,33,30,0.0,12,9.1,65,9,34,31,29,18,31,Moderate or heavy rain shower
187,ATL,2018-07-07,23,34,30,0.0,12,0.5,59,10,10,30,29,17,30,Partly cloudy
188,ATL,2018-07-08,21,34,30,0.0,12,0.0,49,10,5,29,28,18,29,Sunny
189,ATL,2018-07-09,22,34,30,0.0,8,0.0,50,10,5,29,28,14,29,Sunny
190,ATL,2018-07-10,25,34,31,0.0,10,3.6,56,10,21,31,29,16,31,Patchy rain possible
191,ATL,2018-07-11,24,35,31,0.0,15,2.3,58,10,15,32,30,22,32,Partly cloudy
192,ATL,2018-07-12,25,35,32,0.0,17,0.9,56,10,13,33,30,25,33,Sunny
193,ATL,2018-07-13,25,37,32,0.0,16,3.9,53,10,10,32,30,24,32,Patchy rain possible
194,ATL,2018-07-14,24,33,29,0.0,7,14.3,67,9,45,30,28,10,30,Moderate or heavy rain shower
195,ATL,2018-07-15,24,36,31,0.0,10,8.0,62,9,36,32,29,15,32,Thundery outbreaks possible
196,ATL,2018-07-16,25,32,29,0.0,9,40.0,72,7,33,30,28,15,30,Torrential rain shower
197,ATL,2018-07-17,24,33,30,0.0,11,7.4,68,9,34,31,28,16,31,Patchy light rain with thunder
198,ATL,2018-07-18,23,34,30,0.0,6,8.5,69,9,28,31,28,9,31,Moderate or heavy rain shower
199,ATL,2018-07-19,24,39,34,0.0,12,0.0,54,10,1,34,31,19,34,Sunny
200,ATL,2018-07-20,25,38,33,0.0,16,0.0,59,10,5,35,31,23,35,Sunny
201,ATL,2018-07-21,22,35,30,0.0,14,3.8,52,10,12,30,29,21,30,Patchy rain possible
202,ATL,2018-07-22,24,33,29,0.0,15,1.2,56,8,36,29,28,21,29,Patchy light drizzle
203,ATL,2018-07-23,22,32,29,0.0,13,0.2,58,10,28,29,27,18,29,Partly cloudy
204,ATL,2018-07-24,22,33,29,0.0,9,0.0,52,10,11,28,27,15,28,Partly cloudy
205,ATL,2018-07-25,22,35,30,0.0,12,0.0,49,10,18,29,28,19,29,Partly cloudy
206,ATL,2018-07-26,23,28,25,0.0,11,14.6,71,9,31,27,25,16,27,Moderate or heavy rain shower
207,ATL,2018-07-27,20,31,27,0.0,10,0.0,58,10,11,25,25,15,25,Sunny
208,ATL,2018-07-28,22,33,29,0.0,7,0.3,51,10,10,29,28,11,29,Patchy rain possible
209,ATL,2018-07-29,24,31,28,0.0,12,0.4,62,10,14,28,27,16,28,Sunny
210,ATL,2018-07-30,21,28,26,0.0,12,11.1,64,9,25,25,24,16,25,Patchy light rain with thunder
211,ATL,2018-07-31,16,28,24,0.0,12,0.8,59,10,14,23,22,17,23,Partly cloudy
212,ATL,2018-08-01,19,30,27,0.0,7,0.0,45,10,6,25,25,11,25,Sunny
213,ATL,2018-08-02,20,34,29,0.0,15,0.0,44,10,2,27,27,23,27,Sunny
214,ATL,2018-08-03,22,35,30,0.0,25,0.0,45,10,6,29,28,37,29,Sunny
215,ATL,2018-08-04,26,34,30,0.0,28,1.0,43,10,22,30,29,40,30,Patchy rain possible
216,ATL,2018-08-05,25,37,32,0.0,24,0.0,42,10,6,31,31,36,31,Sunny
217,ATL,2018-08-06,26,37,33,0.0,21,0.0,39,10,17,32,31,32,32,Partly cloudy
218,ATL,2018-08-07,25,32,29,0.0,11,0.6,57,9,35,30,28,16,30,Patchy light drizzle
219,ATL,2018-08-08,22,34,29,0.0,6,0.0,60,10,8,28,27,10,28,Sunny
220,ATL,2018-08-09,23,34,30,0.0,10,1.8,50,10,23,29,28,16,29,Patchy rain possible
221,ATL,2018-08-10,23,35,31,0.0,11,0.8,46,10,9,29,29,18,29,Sunny
222,ATL,2018-08-11,21,34,29,0.0,11,0.0,50,10,2,27,27,18,27,Sunny
223,ATL,2018-08-12,22,31,29,0.0,10,3.4,57,10,29,28,27,15,28,Partly cloudy
224,ATL,2018-08-13,22,27,24,0.0,14,19.3,81,8,63,26,24,20,26,Moderate or heavy rain shower
225,ATL,2018-08-14,20,28,25,0.0,12,4.6,79,8,57,25,24,17,25,Light rain shower
226,ATL,2018-08-15,19,30,26,0.0,11,0.9,70,10,23,25,25,16,25,Cloudy
227,ATL,2018-08-16,22,35,30,0.0,10,6.1,61,9,10,30,27,14,30,Moderate or heavy rain shower
228,ATL,2018-08-17,21,31,28,0.0,13,11.5,66,9,12,27,26,18,27,Moderate or heavy rain shower
229,ATL,2018-08-18,21,31,28,0.0,9,0.0,60,10,23,27,26,14,27,Partly cloudy
230,ATL,2018-08-19,21,27,24,0.0,15,14.0,74,9,45,26,24,22,26,Light rain shower
231,ATL,2018-08-20,19,26,23,0.0,23,0.0,68,10,48,23,22,32,23,Cloudy
232,ATL,2018-08-21,17,28,24,0.0,14,0.0,64,10,14,24,23,21,24,Partly cloudy
233,ATL,2018-08-22,18,23,20,0.0,11,12.4,80,9,57,21,20,16,20,Moderate rain at times
234,ATL,2018-08-23,19,32,26,0.0,25,13.7,76,9,52,25,24,37,25,Moderate or heavy rain shower
235,ATL,2018-08-24,25,35,31,0.0,18,2.4,53,10,5,31,29,29,31,Sunny
236,ATL,2018-08-25,23,34,29,0.0,22,10.5,58,9,8,30,28,38,30,Moderate or heavy rain shower
237,ATL,2018-08-26,25,35,31,0.0,30,1.7,54,10,17,31,29,45,31,Partly cloudy
238,ATL,2018-08-27,27,36,32,0.0,37,0.2,49,10,5,32,30,54,32,Sunny
239,ATL,2018-08-28,22,36,31,0.0,29,9.9,54,9,7,31,29,44,31,Patchy rain possible
240,ATL,2018-08-29,16,28,23,0.0,18,16.1,72,9,28,23,22,23,23,Thundery outbreaks possible
241,ATL,2018-08-30,20,34,28,0.0,19,10.9,74,9,36,28,26,28,28,Moderate or heavy rain shower
